 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,217724.000,598.500,703.000,1654.052,336.000,439.000,525.000,528.000,528.013,525.015,90.000
2,78.543,11.368,13.352,31.416,6.382,8.338,9.972,10.028,10.029,9.972,90.000
3,0.019,9.839,12.127,0.518,9.782,12.023,0.114,0.209,0.206,0.121,90.000
4,0.017,10.845,12.042,0.485,10.788,11.947,0.114,0.190,0.185,0.119,90.000
5,0.022,11.842,11.956,0.544,11.776,11.852,0.133,0.209,0.211,0.133,90.000
6,0.028,11.956,13.951,0.598,11.871,13.846,0.171,0.209,0.208,0.175,90.000
7,0.017,11.016,14.074,0.485,10.959,13.979,0.114,0.190,0.185,0.119,90.000
8,0.026,9.953,14.179,0.570,9.877,14.074,0.152,0.209,0.216,0.153,90.000
9,0.016,9.905,13.295,0.448,9.839,13.219,0.133,0.152,0.150,0.134,90.000
10,0.021,10.912,13.181,0.511,10.845,13.086,0.133,0.190,0.191,0.139,90.000
