 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,217724.000,598.500,703.000,1654.052,336.000,439.000,525.000,528.000,528.013,525.015,90.000
2,78.543,11.368,13.352,31.416,6.382,8.338,9.972,10.028,10.029,9.972,90.000
3,0.022,10.171,12.830,0.544,10.104,12.726,0.133,0.209,0.211,0.133,90.000
4,0.017,11.168,12.707,0.485,11.111,12.612,0.114,0.190,0.185,0.119,90.000
5,0.017,12.137,12.612,0.485,12.080,12.517,0.114,0.190,0.185,0.119,90.000
6,0.015,12.298,14.587,0.460,12.251,14.492,0.095,0.190,0.196,0.098,90.000
7,0.021,11.368,14.701,0.511,11.301,14.606,0.133,0.190,0.191,0.139,90.000
8,0.021,10.304,14.834,0.511,10.237,14.739,0.133,0.190,0.191,0.139,90.000
9,0.025,10.247,13.979,0.577,10.180,13.865,0.133,0.228,0.231,0.135,90.000
10,0.015,11.235,13.713,0.460,11.187,13.618,0.095,0.190,0.196,0.098,90.000
